Respondent ID,Time_in_Minutes,Q1_LA_Cnty,Q2_Follow_Sports,Q3_Three_Words_1,Q3_Three_Words_2,Q3_Three_Words_3,Q4_2024_2028,Q5_Withdrawn_Bids,Q6_Over_Budget,Q7_Overruns,Q8_Rising_Rent,Q9_Displacement,Q10_NSSE,Q11_Rank_1,Q11_Rank_2,Q11_Rank_3,Q11_Rank_4,Q11_Rank_5,Q12_Institutions_City_Council,Q12_Institutions_Trump,Q12_Institutions_USOC,Q12_Institutions_IOC,Q12_Institutions_LA2028,Q13_Impact_LA,Q14_Impact_Your_Life,Q15_Impact_Change,Q16_Supportive,Age,Gender,HH_Income,Bad_Response_Flag
10223069522,8.28,2,1,Summer,Winter,Swimming,1,2,1,2,3,4,1,5,1,2,3,4,1,1,1,1,1,"Pollution, crime, drugs, partying are all going to be increased ten-fold and the traffic will be worse than it already is, which is ALREADY bumper to bumper for hours to get by LA. ",1,1,1,2,2,5,0
10223069570,3.2,2,1,Honor,Champion,Medals ,1,2,2,2,5,5,5,5,3,2,1,4,0,1,3,3,3,Overrun budget,3,1,1,3,2,4,0
10223069874,7.45,2,1,Swimming,Track and Field,Skiing,1,2,2,1,4,3,3,4,1,2,3,5,3,1,4,5,3,Lots of pressure and local change,2,5,5,3,1,2,0
10223069934,2.23,1,3,Athletes,Honor,Training,2,2,,,,,,,,,,,,,,,,,,,,,,,0
10223070099,2.97,2,3,Sport,Gold,Parade ,2,2,2,2,2,2,2,1,2,3,4,5,2,2,4,4,2,,2,2,2,3,1,4,0
10223072206,5.5,1,3,Track,Athletes ,Competition,2,2,1,2,5,5,2,,1,2,3,4,3,3,3,3,3,LA is already an extremely expensive city to live in and I don’t think the games will help with lowering the cost and also the traffic will increase ,2,1,1,2,2,2,0
10223072496,7.03,2,1,Competition,International,Medals,1,1,1,2,4,2,2,5,2,3,1,4,5,1,5,5,5,Will change the city if too much new construction is needed. Could be good or bad depending on what is prioritized and how much thought goes into the post-olympic days,3,3,5,2,1,4,0
10223073606,3.82,1,4,Skating,Swimming,Medals,2,1,5,2,5,5,5,,,,,,,,,,,,,,,,,,0
10223074821,0.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223075677,3.67,1,2,Sports ,USA ,Fun,2,1,2,1,2,3,2,,5,,4,3,3,3,5,3,3,A huge one,3,3,2,3,2,2,0
10223076172,5.52,1,1,Gold medals,Opening ,Competition ,2,2,3,3,5,5,5,5,2,3,1,4,3,1,3,3,4,"That there will be so many people and an increase in homelessness if rent increases dramatically. If the people can't pay they will lose housing. The homeless may even be more victimized, there is fear of police, and there should be other concerns than the Olympics. The Olympics isn't worth it.",3,1,1,2,2,3,0
10223077293,11.72,1,1,Competition ,Pride,Athletes ,1,1,3,2,3,3,1,5,3,1,2,4,3,1,2,2,3,Huge traffic jams and increased organized chaos. ,3,3,2,5,2,11,0
10223077334,3.63,1,4,Unfair,Fun,Exciting,2,2,4,2,5,3,1,1,3,2,5,4,1,3,3,3,2,Huge,1,1,1,2,1,5,0
10223081326,0.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223082822,2.35,1,3,Tallent,Global,Tradition ,4,1,4,1,3,4,4,2,4,1,5,3,4,4,1,4,3,I think it will bring a lot of business and opportunities ,5,4,4,2,2,4,0
10223084218,6.7,2,1,Competitive,Prestigious ,Athletes,1,2,2,2,2,1,1,5,1,2,3,4,3,4,3,3,3,None ,3,3,2,3,2,3,0
10223086193,474.98,1,2,Opening ceremony ,Tourists ,Television ,2,2,1,2,1,1,1,5,3,2,4,1,3,2,3,3,3,,,,,,,,0
10223089616,130.73,1,5,Running,Phelps,Fire,5,1,5,2,5,5,5,5,1,2,3,4,4,1,3,3,4,Extreme capitalism and gentrification,5,5,5,3,2,6,0
10223092068,8.7,1,4,Special ,Great,Sports,1,2,1,2,1,5,5,,1,2,3,4,3,1,3,3,3,Terrible traffic during. Movement of homeless populations ,2,1,1,4,2,11,0
10223092998,8.93,2,2,Competition,Sports,Medals,1,2,3,2,1,1,1,4,1,2,3,5,3,0,3,3,3,"More tourists, more traffic, more chaos",3,3,3,3,2,11,0
10223093110,4.57,2,3,Running,Swimming,Gymnastics,2,1,4,2,2,4,3,5,2,1,3,4,3,1,3,2,3,"More traffic, underutilized arenas",2,2,2,3,2,4,0
10223095273,4.63,1,1,Track and field,Phelps,Flags,1,2,5,2,5,5,2,5,1,2,4,3,3,1,3,3,3,Freeways will be more crowded. More rent costs.,1,2,1,2,2,4,0
10223096197,45.43,2,3,National pride,Competion,Pageantry,2,2,3,2,2,4,3,3,2,1,4,5,1,5,3,2,3,"Construction traffic, increased traffic ",3,3,3,4,2,4,0
10223097424,16.83,2,2,Swimming ,Gold medal ,Track and field,2,2,4,2,4,3,3,2,1,4,5,3,2,1,3,3,2,"infrastructure issues, exorbitant costs to tax payers.",3,2,3,4,2,7,0
10223100304,5.87,2,1,Horse jumping,Athletes,Gymnastics,1,2,3,2,3,2,1,5,1,3,4,2,3,3,3,3,3,It will generate income for surrounding businesses and could have a positive impact.,3,3,4,3,2,10,0
10223100548,5.57,2,4,Gold medal,Snow,Athletes ,1,2,2,2,2,3,1,5,1,2,3,4,3,2,3,3,3,Positive and false hope. And then followed by negative ,2,2,2,3,2,11,0
10223102611,3.07,2,3,gold ,win,metals ,1,2,1,3,5,4,3,5,1,3,2,4,0,0,0,0,0,idk,3,3,3,2,2,1,0
10223104582,4.83,1,2,Prestige,Dedication,Endurance,2,1,2,2,4,5,1,4,1,2,3,5,3,0,0,4,3,Amazing,5,4,3,2,2,1,0
10223105425,6.87,2,1,Sport,Completion ,Winning ,1,2,2,2,3,2,3,4,1,3,2,5,3,2,3,3,3,Construction and traffic ,3,4,4,2,2,6,0
10223106654,4.03,2,2,Gold ,Tv,Swimming ,1,2,2,1,2,4,2,5,1,2,3,4,3,1,1,1,2,Just a waste of money ,3,2,3,2,2,1,0
10223106920,5.65,2,2,sports,medal,international,1,2,2,2,1,4,5,1,4,2,3,5,3,1,3,3,3,"construction, traffic, dessertation/trash of post game infrastructure",2,2,3,2,2,11,0
10223108451,6.08,2,1,Professional ,Athletes ,Sports ,1,3,4,2,5,5,4,5,1,3,2,4,1,1,1,1,1,A bad impact for taxpayers ,1,1,1,3,2,3,0
10223109597,4.48,2,2,Athletes,Doping,Needs an overhaul,1,2,2,2,1,2,1,4,1,3,2,5,3,3,3,3,3,It will bring tourism and traffic.,3,3,4,4,2,6,0
10223111052,9.58,2,2,Medals,Track and Field,Swimming,4,1,3,3,4,5,4,4,5,2,1,3,3,1,2,1,1,Before: tourism will grow in anticipation of the games. Lack of housing will drive homeless population up. Depending on budget allocations more construction for planning to host the Olympics will grow.   After: the money made from Olympics will drive la into debt. Picking transit will improve with investments made before the Olympics. ,4,2,3,2,1,6,0
10223112195,5.1,2,1,Rings,Medal,Gold,2,1,5,2,5,5,5,5,3,2,1,4,3,1,2,2,1,Financial and social wreckage,1,1,1,3,1,4,0
10223113617,6.55,2,2,Michael Phelps,Torch ,Medals,1,2,5,2,4,4,5,5,2,3,1,4,3,5,3,3,3,"LA residents will see a large jump in rent and housing bills, which is already expensive. Many residents will most likely be unable to support themselves and taxpayers money would be wasted by not improving the city and the public institutions or the housing within it. ",1,1,1,2,2,4,0
10223116721,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223116931,7.27,2,3,Metals,Swimming,Michael Phelps,1,2,3,2,4,4,4,5,2,3,1,4,4,1,3,3,4,Apparently lots including higher rent and possibly no place for people to live ,2,3,2,3,2,7,0
10223118933,1.48,1,2,Cool,,,1,2,2,3,2,3,2,,,,,,,,,,,,,,,,,,1
10223120875,4.42,2,1,Ski Jumping,Luge,Bob sled,1,2,1,2,1,1,3,1,5,2,4,3,2,5,3,3,3,I don't know.,3,1,1,4,1,6,0
10223122231,4.62,2,2,Expensive,Traffic,Interesting ,3,1,2,2,1,2,5,5,2,1,3,4,3,1,2,2,3,"If there’s building of facilities, a massive drain on the public coffers. If there’s not, it could have a positive impact ",3,3,4,5,1,6,0
10223126107,3.05,1,3,Swimming ,Track,Field,1,1,2,2,1,1,2,4,3,5,1,2,3,1,3,3,3,Traffic ,3,4,3,2,1,1,0
10223126673,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223127110,1.85,1,5,Gabby Douglas ,Gymnastics ,Simone,5,1,5,,5,4,5,1,2,3,4,5,4,4,5,4,,,5,4,4,3,2,5,0
10223130677,14.85,1,1,Pride  ,Honor,Excellence  ,1,2,3,2,3,2,2,4,2,1,3,5,4,1,4,,4,,,,,,,,0
10223132399,7.18,2,1,Sports ,Athletes ,Endurance ,1,2,2,2,3,5,3,1,2,3,4,5,3,1,3,4,5,Increased crime.,3,3,4,5,1,5,0
10223132501,0.32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223132881,4.25,1,1,Sport,Tournament,Hard,1,2,1,2,5,5,5,2,4,3,1,5,3,0,0,0,0,Huge,1,4,1,2,2,3,0
10223134042,2.88,2,2,Difficult ,Pride,Competition ,2,2,4,3,5,5,5,5,1,3,4,2,1,1,1,1,1,N/A,3,3,3,2,1,3,0
10223145257,1.67,2,3,Usain bolt,Active lifestyle,Opening flame,2,2,1,2,,,,,,,,,,,,,,,,,,,,,0
10223152726,4.17,1,5,Good ,Good ,Great ,4,1,3,2,,4,3,1,2,3,4,5,1,4,4,4,3,Good ,1,1,1,3,2,4,0
10223152735,4.18,1,4,Good ,Great ,Great ,4,1,3,1,2,2,4,1,2,3,4,5,1,2,2,1,1,Good ,1,1,2,3,2,4,0
10223153610,5.72,1,4,Good ,Great ,G,1,1,4,1,4,4,4,1,2,3,4,5,1,1,1,1,1,G,1,1,1,3,2,4,0
10223153689,6.63,2,1,Committee,NBC,International,2,2,2,2,3,4,5,5,1,4,2,3,3,1,4,4,3,Congestion is going to get worse. God knows what's going to happen to people on skid row. Things are already bad when just the president comes to visit and all of the city is impossible to navigate. There's no ROOM for all these people.,2,2,2,2,2,7,0
10223158964,6.58,2,1,Gold,Rings,Sportsmanship,2,1,2,2,1,2,1,5,1,2,3,4,4,1,3,3,4,Dirtier than before,3,3,4,3,2,11,0
10223159842,16.1,2,1,Ice skating,Swimming,Gymnastics ,1,2,1,3,1,1,1,5,1,2,3,4,2,5,2,2,2,They survived the first one maybe the second one as welll but we should look at the cost of we are still on the hook for the previous bill,3,2,2,4,2,4,0
10223161889,7.48,1,3,Athletes,World wide,Powerful,3,2,1,2,5,5,4,5,3,1,2,4,1,1,1,1,3,It will be either really good or really bad. Theirs enough homelessness in downtown LA we don't need more.,1,2,1,2,2,3,0
10223165358,3.17,2,1,Running ,Jumping ,Winning ,1,2,2,1,4,5,4,1,4,3,2,5,2,1,3,4,1,They’ll be winning  more often ,1,4,5,2,2,1,0
10223170910,2.23,1,4,Good ,Good ,Good ,4,1,3,1,4,4,5,1,2,3,4,5,4,4,4,3,5,Good ,2,1,1,3,2,2,0
10223170922,4.7,1,4,Great ,Great ,Great ,4,1,4,1,5,5,4,1,2,3,4,5,4,4,4,5,1,Great ,4,1,1,3,2,3,0
10223170932,8.52,1,4,Good ,Good ,Good ,4,1,2,1,3,4,3,1,2,3,4,5,4,5,4,4,3,Good ,1,2,4,3,2,4,0
10223174619,9.23,2,1,Medals,Athletics,International,1,2,4,2,4,3,1,4,1,2,3,5,3,2,4,4,3,Taxes go way up. Maybe housing prices too.,2,2,2,2,1,11,0
10223174685,4.37,2,1,Sports,Global,Athletes,1,2,2,2,4,3,1,4,2,3,1,5,,1,0,4,0,Displacement of individuals and higher cost of living and increased tourism.,2,2,1,2,2,2,0
10223176669,4.98,1,3,performance,athletes,celebration,2,2,3,2,5,4,5,5,1,2,3,4,2,1,2,4,3,Straining the city's resources and community. ,2,1,1,2,1,3,0
10223178151,11.8,1,1,Swimming,Gymnastics,Skiing,1,2,5,2,5,5,1,5,1,3,2,4,3,3,1,1,1,"Terrible effect, displacing residents and increasing the already high rent in this area. The Olympics are a waste of time as it is. Nothing can justify having them brought to LA.",1,1,1,2,1,11,0
10223182044,2.55,1,4,Funny,Cool,Nice,4,1,4,1,4,4,4,1,2,3,4,5,2,1,1,1,1,I love it all,1,1,1,2,1,5,0
10223190010,5.42,2,3,World,Quarterly,Boring,1,2,4,2,5,5,3,5,1,2,3,4,3,1,2,2,3,"Rising rent costs, damaged infrastructure, increased homelessness",2,1,1,2,1,11,0
10223190674,1.35,2,1,Winter,Summer,Gymnastics ,3,2,,,,,,,,,,,,,,,,,,,,,,,0
10223191128,0.08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223192187,2.55,1,3,Great ,Great ,Great ,4,1,4,1,4,4,4,1,2,3,4,5,4,4,4,4,5,Great ,4,4,4,3,2,4,0
10223193704,7.75,1,2,Great,Gymnastics ,Impressive ,2,2,4,2,3,4,3,4,1,2,3,5,3,1,5,5,5,"An influx of people coming as tourists, as well as money being used for Olympic purposes rather than present issues",3,2,4,2,2,11,0
10223198050,4,1,5,long,commercials,bias ,5,1,5,2,5,5,5,2,1,3,4,5,3,5,4,4,4,tourist ,4,2,4,3,2,2,0
10223198864,5.95,2,1,USA,Pride,Unity,1,2,3,2,3,3,4,2,1,4,3,5,,,,,,,,,,,,,0
10223198984,7.17,2,1,Fascinating ,Hard,Worldwide ,1,1,1,2,4,5,5,5,1,2,3,4,0,1,3,3,3,I don't know,2,2,2,3,2,5,0
10223199115,4.17,2,3,Athletes,Competition,Unity,3,3,4,2,3,3,3,5,2,3,1,4,2,2,3,3,3,,,,,,,,0
10223202896,3.35,1,4,Good ,Good ,Good ,4,1,4,1,4,4,4,1,2,3,4,5,5,5,5,5,5,Good ,4,4,4,3,2,4,0
10223203411,2.38,1,4,Good ,Good ,Good ,4,2,4,1,4,4,4,1,2,3,4,5,5,5,4,4,5,Good ,4,4,4,4,2,4,0
10223205073,7,2,1,Political ,Boring,Biased,1,2,1,2,1,1,1,5,1,2,3,4,5,5,2,1,2,"Increased rent, taxes, and homeless rates. Increase in crime. Faster deterioration of infrastructure due to increased usage.",2,3,1,3,1,3,0
10223206075,13.05,1,3,Gymnastics,Swimming,Track&Field,2,2,5,2,1,3,3,5,1,3,2,4,3,1,3,4,3,The city will become over populated and run down and after the true LA residents will be left to rebuild,3,4,3,2,2,1,0
10223208690,5.65,2,2,USA ,Sports ,Medals,1,2,3,2,4,3,1,5,2,3,1,4,2,,3,3,2,I believe just like Rio de Janeiro the damage to the city will not be worth it.,2,2,2,2,2,2,0
10223215262,3.02,1,5,medallas,eqhipo,hvvvcd,5,1,5,1,5,5,5,1,2,3,4,5,5,5,5,5,5,"ctxgxyxt gg,",5,5,5,3,1,5,1
10223215785,8.93,2,5,exciting,entertaining,usa,1,2,2,2,1,1,1,3,2,1,5,4,1,5,3,2,3,positive,3,3,4,5,1,5,0
10223220545,5.57,2,1,Atletics,Swimming,Opening ceremony,1,2,2,1,3,2,1,1,2,3,4,5,5,2,3,3,3,Infrastructure better,3,3,5,2,1,3,0
10223239294,7.18,1,1,Sports,Summer,winter,2,2,4,2,2,3,4,3,2,4,1,5,3,1,2,5,5,More and more and more tourism,2,2,3,2,2,11,0
10223242297,14.08,2,3,Fantastic ,Can’t wait ,Will be watching ,3,1,2,2,2,3,2,4,1,3,2,5,4,1,4,4,5,"Revenue from tourism   Congestion   If not managed well, financially burdened.",3,3,3,5,2,5,0
10223253610,8.37,2,3,Nationalism ,Achievement ,Pride,2,1,3,2,5,4,1,5,3,1,2,4,3,1,2,2,3,Housing  Traffic   Tourism ,3,3,4,4,2,3,0
10223254680,5.57,2,1,Swimming,Countries,Medals,1,2,5,2,1,5,1,5,1,2,3,4,2,2,3,3,2,,3,2,1,2,1,5,0
10223257612,2.77,1,2,Snowboarding ,Figure skating ,Swimming,4,3,3,1,4,2,3,1,4,5,2,3,2,4,1,5,3,Higher cost ,2,2,3,2,2,5,0
10223257767,12.67,1,1,amazing,talented,top-performers,2,2,4,2,4,4,2,5,1,3,2,4,,,,,,"IF we have a person in charge of the Olympics in LA as organized, competent, & proactive as last time we hosted; then we'll be fine and we'll have a good experience . ",4,,4,5,2,7,0
10223259459,4,2,3,Soccer,Ice skate,Roller blade,2,1,3,1,3,5,5,4,1,3,2,5,3,1,3,3,3,N/A,3,3,3,2,2,1,0
10223270787,2.53,1,3,Fun ,Athlete ,Go,3,1,2,1,3,2,4,1,4,2,3,5,1,1,2,3,1,It’s the same ,3,2,1,2,2,1,0
10223272574,12.8,2,4,Usa,Russia,Gymnastics ,3,2,1,1,4,4,1,4,1,5,2,3,3,5,3,3,3,Might make some hipsters get a gd job.,3,3,4,3,1,5,0
10223277305,11.27,2,1,traditional,competative,top-tear,1,2,1,2,1,2,1,5,2,1,4,3,2,4,3,3,2,cause crime to go up doe to unforeseeable negative monetary consequences.     causa que el crimen aumente a consecuencias monetarias negativas imprevisibles.,3,3,2,3,1,2,0
10223281049,4.45,1,1,Grand,Medal,Victory,1,2,4,1,1,3,1,3,4,1,2,5,4,1,3,3,3,Positive- we will all get together to celebrate,4,3,4,2,1,1,0
10223283116,3.8,2,2,Gold,World,Best,2,2,1,2,3,3,2,2,1,3,4,5,0,0,5,0,0,More garbage more money more consumers,3,2,2,3,2,3,0
10223297759,6.35,1,4,Winter,Worldwide,Diverse,3,2,3,2,3,4,3,1,2,3,4,5,3,1,3,3,4,Celebration. ,3,3,4,2,1,3,0
10223310804,5.45,2,4,Representation,Rings,Athletes,3,1,4,2,4,5,2,5,2,1,3,4,3,3,3,2,3,I think it will bring a lot of tourism money.,4,3,4,2,2,11,0
10223315791,4.08,2,2,Gold,Usa,Race,1,2,1,2,1,1,1,3,1,2,4,5,3,4,1,3,3,It will still suck,3,3,3,3,1,3,0
10223317457,5.15,2,1,Rings,Athletes,Tourism,1,2,3,3,3,4,1,5,1,3,2,4,3,1,3,3,3,Not totally sure but I’m sure it’ll end up being some sort of mess that’ll take years to recover from,3,2,2,3,2,3,0
10223325164,7.7,2,2,Gold medal,National,Skating,1,2,2,3,3,5,1,5,2,3,1,4,3,2,3,3,3,LA will definitely have more visitors from all over the world.,3,2,3,2,2,1,0
10223347364,3.32,2,1,Gold,Athletes ,Athens,1,2,4,2,3,5,4,,,,,,,,,,,,,,,,,,0
10223351912,13.77,1,1,Finally Skateboarding,Super,Elite/ best of the best,1,1,2,1,5,5,2,5,2,1,3,4,5,3,1,1,5,"It's hard to predict the future. I would for a better future, but that doesn't always happen. I consider The Olympics to be a blight to any population that surrounds it's infrastructure.",4,2,3,2,1,1,0
10223399283,2.47,2,2,Pride,Athletics,Best ,2,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,0
10223424533,4.78,2,1,Athletes ,Sports,Global,1,2,1,2,2,5,1,,1,2,4,3,3,5,3,3,3,I don't know ,2,3,3,3,2,6,0
10223433077,12.1,1,2,Interesting,Skills,Proud,1,2,3,2,5,5,5,5,1,3,2,4,2,1,2,2,3,A lot of revenue but headaches with all the traffic,3,4,3,3,2,3,0
10223461992,16.08,2,1,International,Sprtings,compeition,2,2,4,3,5,5,4,5,2,1,4,3,3,1,2,2,2,"potentially negatively affect the ability of LA to address current and future problems.    If money is spend on Olympics is not bad but equal money and resources or more  MUST BE SPENT ON local and state issues that improve the lives of people in California.   Claims maybe made that Olympics will bring money, business and other benefits to LA.  A meaningful review and comparison  of the positive effects of the Olympics needs to be developed that compares  the negative effects.  This way informed decisions can be made",2,,1,5,1,6,0
10223466927,4.75,2,2,accomplished ,determined ,sports,2,2,2,2,5,4,3,5,2,3,4,1,3,2,2,2,3,put the city in more financial debt,2,1,1,3,2,3,0
10223474922,5.32,1,2,International competition,Expensive for the host city,"Generally, boring",1,2,4,2,4,4,4,5,2,1,4,3,3,1,2,2,2,Less money available for more important local projects,2,2,2,5,1,9,0
10223477592,4.42,2,1,Figure skating,Skiing,Gymnastics,1,2,4,1,3,3,3,5,2,1,4,3,3,1,4,4,3,??,3,2,5,5,2,5,0
10223479042,0.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223513057,3.45,2,1,Excited ,Proud ,🇺🇸 USA,1,2,3,3,3,4,4,1,2,3,4,5,3,3,3,3,3,Excellent ,3,3,3,5,2,4,0
10223520555,5.3,2,3,pride,competition,talented,3,1,5,2,5,5,4,5,1,3,2,4,3,1,3,3,4,debt,2,1,1,5,2,4,0
10223521653,6.75,2,1,Soccer,Medal,Winter,1,2,5,1,4,5,5,5,1,3,2,4,3,1,3,3,3,Crowded freeways,3,2,1,5,2,10,0
10223533240,3.25,2,1,All sports,Talent ,,1,2,1,2,1,1,1,1,2,3,4,5,1,1,2,3,3,Not sure,3,3,4,3,2,5,0
10223541348,12.42,2,1,Special,Talented,Dedicated ,2,2,3,1,4,4,1,2,3,4,5,1,3,3,3,4,3,Overspending  Displacement of renters,3,2,2,5,2,2,0
10223543177,9.22,1,1,Awards,Compatition ,Years of tranining,1,2,1,2,1,1,1,1,2,3,4,5,2,3,2,3,3,,3,3,4,4,1,1,0
10223547874,5.67,2,3,Talented,Hard work,Exciting ,1,2,1,2,3,2,1,5,1,3,4,2,3,4,4,4,3,Positive impact ,4,3,4,2,2,5,0
10223558931,3.37,2,1,Competative,Spandex,International,1,2,1,2,1,1,1,1,3,2,4,5,1,1,1,1,1,More debt and liter,1,1,1,3,2,3,0
10223568868,2.37,1,3,Sports,Best,Fun,3,3,2,1,5,2,1,4,3,2,5,1,0,0,4,3,4,No,3,2,5,3,1,6,0
10223570172,5.55,2,3,United States,Basketball ,Gold Metal,3,2,5,2,2,3,5,5,1,2,4,3,2,3,2,1,2,Going to lose a lot of money and the prices/economic will not favor who is living in the city already. ,2,2,3,2,2,2,0
10223576152,2.13,1,2,Ok,Ok,Ok,3,1,3,1,3,3,2,1,2,3,4,5,2,4,4,3,2,Ok,3,3,3,3,1,4,1
10223578688,5.05,1,1,Team work,National,Patriotic,1,2,2,3,3,3,1,4,1,2,5,3,3,2,3,3,3,"More traffic, population density",2,3,4,3,2,6,0
10223580245,4.63,2,1,inspiring,hard work,nationalistic,1,1,1,1,4,5,5,5,2,1,3,4,0,1,0,0,0,Show the world what Los Angeles looks like.,3,3,4,5,2,5,0
10223580539,3.3,2,3,Amazing people,Sweaty,Rich,1,3,1,3,1,1,1,1,3,2,4,5,1,1,1,1,1,Nothing,1,1,1,2,1,11,0
10223581916,8.73,1,2,Sportsmanship,Team,Gold,2,2,3,2,5,4,5,5,1,2,3,4,3,1,2,2,3,"The games will have a financial and structural impact on LA in terms of housing, rents, infrastructure, transportation, and getting around LA",2,2,3,5,2,5,0
10223587336,4.98,1,1,Soccer ,Gold,Russia,1,2,3,2,5,4,3,5,1,4,3,2,2,1,2,2,3,I think it will only crowd LA and cause us to spend more money than we will make from tourism. I believe the money should be used for other things as listed before,3,2,1,2,1,6,0
10223597939,6.83,1,1,Torch,Athletes ,Determination ,2,2,1,2,4,4,2,5,2,1,3,4,3,3,2,2,2,I’m not sure ,2,2,2,4,2,8,0
10223599417,0.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223600941,5.02,2,1,waste of money,too political ,boring,1,2,1,2,1,1,1,2,3,1,4,5,1,5,1,1,1,nothing,3,3,1,5,1,8,0
10223603465,4.48,2,5,excellence,athletes,pageantry,2,2,2,2,4,4,3,5,2,1,3,4,4,1,4,4,3,"Traffic, higher prices",3,2,3,5,1,11,0
10223609011,8.02,2,1,America,Gold,Winners,1,2,1,2,1,1,1,2,5,4,,3,0,4,0,0,0,,4,3,3,3,2,2,0
10223610975,88.43,2,2,Track,Swim,Judo,1,1,3,2,5,5,1,5,2,3,1,4,3,1,3,3,3,It seems like it will exacerbate the housing/homeless crisis.,2,1,1,2,2,7,0
10223612517,3.2,2,4,Pride,Nation,Competition,1,2,4,2,4,4,2,5,1,4,3,2,0,1,3,2,0,"After the games, the Olympics will cause more homelessness and higher rent costs in LA. ",2,2,2,2,1,10,0
10223620000,6.73,1,1,Skill,Majesty,Corruption,2,1,5,2,2,4,2,3,2,1,4,5,5,1,3,1,3,Probably positive,3,3,2,5,2,11,0
10223628396,5.03,1,3,Speed,Competition ,Places,2,1,2,3,3,4,2,1,2,3,4,5,3,3,4,4,4,"I think that it could effect la in a couple negative ways, but positive ways as well.",2,2,4,2,2,1,0
10223638661,5.63,2,1,Character,Fortitude,Stamina,1,2,5,2,5,5,5,1,4,2,3,5,2,1,5,5,5,"Heavy financial burdens, in the form of extra taxation, would be extremely excessive.",3,2,4,5,2,2,0
10223642319,3.5,1,4,Extremely,Quality,Good,4,1,4,1,4,3,4,1,2,3,4,5,5,5,4,4,5,Major quality,4,4,4,3,1,5,0
10223649513,9.63,1,4,rings,nations,flags,1,1,5,2,5,4,5,5,2,1,3,4,1,1,2,1,1,"I was here for the last L.A. Olympics.  Beforehand, the city was freaking out.  In reality, the impact wasn't bad at all.",2,3,2,4,1,1,0
10223674570,6.4,2,3,Michael phelps,Track,Tennis,1,2,3,2,4,4,1,4,1,2,3,5,3,3,3,3,3,"Before, everyone is not going to realize the impact it will have on our cities. After the olympics we will be upset because we will discover how much taxes we were having to pay",1,4,1,2,2,3,0
10223680823,7.93,2,3,Track,Swimming ,Gymnastics ,4,1,4,1,1,1,2,3,1,2,4,5,3,1,2,1,3,"It should help the economy, both before and after ",3,3,5,4,1,5,0
10223693046,3.15,2,2,Track,Figure skating,Rings,1,3,2,1,3,2,3,1,2,3,4,5,3,5,3,2,3,Hopefully clean the city up provide jobs,3,3,3,3,2,3,0
10223700081,0.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223701446,6.48,2,1,waste ,of,resources,1,2,5,2,5,5,5,5,3,1,2,4,3,3,1,1,3,"Unfavorable. I say get rid of the Olympics entirely. All things considered, it's never good.",3,1,1,5,2,10,0
10223711553,12.38,2,1,World wide participation,Sportsmanship,Visual specticality,1,1,1,2,2,3,1,4,1,2,3,5,1,0,3,3,3,Not sure,3,3,3,5,2,8,0
10223716536,5.32,2,2,Patriotism ,Skiing ,Ice skating ,1,2,1,2,4,5,5,5,1,3,2,4,2,1,2,2,2,"Increased costs, increase in crime",3,2,1,5,2,10,0
10223722500,3.37,1,2,Traffic,Dedication,Difficult ,3,2,1,2,5,3,1,5,2,3,1,4,3,4,3,2,4,Lots of traffic ,2,1,1,5,1,6,0
10223731921,9.57,1,1,interesting,amazing,impressive,1,2,3,2,1,3,2,5,2,1,3,4,3,1,2,2,3,don't know,2,2,3,5,2,4,0
10223732049,0.12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223737201,9.1,2,2,Track and field,Swimming,Gymastics,2,2,3,2,3,4,2,1,3,4,2,5,3,1,3,3,3,The impact will be huge.  ,2,2,2,4,2,5,0
10223739525,5.52,1,5,Expense,Corruption,patriotism,3,1,5,2,3,2,3,5,2,1,3,4,1,5,2,1,3,"Debt, cost over-runs.",2,3,3,4,1,4,0
10223740172,5.98,2,1,Skiing ,Metals ,Athletes ,1,2,3,2,4,5,3,5,1,3,2,4,2,1,2,2,2,,2,1,1,3,2,11,0
10223742446,4.05,1,2,Greece,Zeppelin ,Flame,2,2,4,2,,3,3,5,3,2,4,1,3,3,3,3,3,Idk,3,3,3,2,1,5,0
10223749288,6.53,2,1,Sports,Exciting,Fun,1,2,4,2,5,5,5,1,2,,3,5,3,1,3,4,4,Raise in all kinds,2,2,4,4,2,3,0
10223749781,4.3,2,2,Great,fun,sports,1,2,4,1,3,2,4,1,2,4,3,5,3,5,5,4,4,The homes and the hotels rent will go up and the houses prices will go up and more company's coming to LA.   ,4,4,5,2,1,10,0
10223753924,3.05,1,2,,,,2,1,2,1,2,4,4,1,2,3,4,5,3,4,4,4,5,,,,,,,,0
